City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Katsuura,JP,2019-11-06 18:33:31,33.93,134.5,50.0,81,20,12.75
143,Kavaratti,IN,2019-11-06 18:33:31,10.57,72.64,81.34,79,9,11.59
144,Ukiah,US,2019-11-06 18:33:31,39.15,-123.21,69.01,46,54,2.66
145,Port Keats,AU,2019-11-06 18:33:31,-14.25,129.55,83.12,66,67,6.33
146,Ponta Do Sol,BR,2019-11-06 18:33:32,-20.63,-46.0,87.49,46,65,3.4
147,Haines Junction,CA,2019-11-06 18:33:32,60.75,-137.51,22.68,88,100,4.47
148,Joao Pinheiro,BR,2019-11-06 18:33:32,-17.74,-46.17,92.43,37,22,2.37
149,Miguel Pereira,BR,2019-11-06 18:33:32,-22.45,-43.47,78.8,65,90,12.75
150,Hohhot,CN,2019-11-06 18:33:33,40.81,111.65,32.0,79,0,4.47
151,Aykhal,RU,2019-11-06 18:33:33,65.95,111.51,-13.01,83,100,4.47
152,Stettler,CA,2019-11-06 18:30:33,52.32,-112.71,12.0,88,0,10.0
153,Kollam,IN,2019-11-06 18:33:34,8.88,76.6,80.6,83,40,1.12
154,Richards Bay,ZA,2019-11-06 18:33:34,-28.77,32.06,79.41,69,49,20.65
155,Vanimo,PG,2019-11-06 18:33:34,-2.67,141.3,81.32,79,100,6.62
156,Ngunguru,NZ,2019-11-06 18:33:35,-35.62,174.5,55.99,95,26,4.29
157,Bilma,NE,2019-11-06 18:33:35,18.69,12.92,82.81,15,0,8.46
158,Amahai,ID,2019-11-06 18:33:35,-3.31,129.0,79.36,77,45,3.38
159,Ulaangom,MN,2019-11-06 18:33:35,49.98,92.07,27.1,78,52,1.68
160,Ahome,MX,2019-11-06 18:33:36,25.92,-109.18,89.01,45,90,13.87
161,Santa Catarina De Tepehuanes,MX,2019-11-06 18:33:36,25.34,-105.72,65.84,55,99,5.46
162,Inhambane,MZ,2019-11-06 18:33:36,-23.87,35.38,77.0,83,40,11.41
163,Kishtwar,IN,2019-11-06 18:33:36,33.31,75.77,22.98,98,100,5.84
164,Zhenlai,CN,2019-11-06 18:33:36,45.84,123.2,23.29,51,7,11.32
165,Beidao,CN,2019-11-06 18:33:37,34.57,105.89,42.87,88,3,3.0
166,Kenai,US,2019-11-06 18:33:37,60.55,-151.26,39.2,86,90,16.11
167,Tari,NG,2019-11-06 18:33:37,12.41,4.49,87.28,20,0,6.13
168,Hualmay,PE,2019-11-06 18:33:37,-11.1,-77.61,75.16,51,11,10.69
169,Constitucion,MX,2019-11-06 18:33:37,23.99,-104.67,70.0,49,75,2.24
170,Konevo,BG,2019-11-06 18:33:37,41.67,25.61,64.0,91,100,11.79
171,Chippewa Falls,US,2019-11-06 18:33:38,44.94,-91.39,30.2,58,90,9.17
172,Noyakert,AM,2019-11-06 18:33:38,39.83,44.67,42.8,32,0,1.12
173,Vrangel,RU,2019-11-06 18:33:38,42.73,133.08,38.21,85,100,10.27
174,Jiuquan,CN,2019-11-06 18:30:27,39.73,98.49,35.69,58,63,3.49
175,Saskylakh,RU,2019-11-06 18:33:39,71.97,114.09,-17.49,97,0,7.27
176,Havelock,US,2019-11-06 18:33:10,34.88,-76.9,69.01,63,20,13.87
177,Tilichiki,RU,2019-11-06 18:33:40,60.47,166.1,33.76,84,100,27.89
178,Umm Kaddadah,SD,2019-11-06 18:33:40,13.6,26.69,84.99,12,0,7.09
179,Butaritari,KI,2019-11-06 18:33:40,3.07,172.79,83.95,73,100,10.74
180,Cabedelo,BR,2019-11-06 18:33:40,-6.97,-34.84,86.0,58,40,14.99
181,Norman Wells,CA,2019-11-06 18:33:40,65.28,-126.83,5.0,92,75,9.17
182,Musafirkhana,IN,2019-11-06 18:33:41,26.37,81.8,70.86,48,0,1.43
183,Raton,US,2019-11-06 18:33:41,36.9,-104.44,64.99,26,1,6.78
184,Belyy Yar,RU,2019-11-06 18:33:41,53.6,91.39,33.8,80,10,4.47
185,Mehamn,NO,2019-11-06 18:33:41,71.03,27.85,24.8,92,75,9.17
186,Zyryanskoye,RU,2019-11-06 18:33:41,56.83,86.62,32.18,78,100,12.59
187,Santa Fe,AR,2019-11-06 18:29:57,-31.62,-60.7,86.0,29,24,4.0
188,Aklavik,CA,2019-11-06 18:33:41,68.22,-135.01,14.0,71,90,5.82
189,Nuoro,IT,2019-11-06 18:33:41,40.32,9.33,62.6,45,20,14.99
190,Sola,TZ,2019-11-06 18:33:42,-3.17,33.8,79.59,45,81,9.22
191,Yeppoon,AU,2019-11-06 18:33:42,-23.13,150.74,60.8,87,3,1.54
192,Brus Laguna,HN,2019-11-06 18:33:42,15.75,-84.48,82.15,82,14,3.87
193,Lapua,FI,2019-11-06 18:33:42,62.97,23.01,17.6,92,100,4.27
194,Faanui,PF,2019-11-06 18:33:42,-16.48,-151.75,79.9,79,66,12.46
195,Tuatapere,NZ,2019-11-06 18:33:42,-46.13,167.69,51.01,92,100,1.12
196,Adrar,DZ,2019-11-06 18:33:42,27.87,-0.29,77.0,31,0,18.34
197,Aitape,PG,2019-11-06 18:33:42,-3.15,142.36,81.5,78,100,8.25
198,Provideniya,RU,2019-11-06 18:33:42,64.42,-173.23,16.65,80,0,12.84
199,Caravelas,BR,2019-11-06 18:33:43,-17.73,-39.27,86.95,56,0,15.7
200,Broome,GB,2019-11-06 18:33:43,52.47,1.45,45.0,86,86,3.36
201,Bonavista,CA,2019-11-06 18:33:43,48.65,-53.11,46.0,84,100,7.0
202,Henties Bay,NA,2019-11-06 18:33:43,-22.12,14.28,64.99,81,0,1.01
203,Nanortalik,GL,2019-11-06 18:33:43,60.14,-45.24,33.82,76,0,9.13
204,Nampula,MZ,2019-11-06 18:33:43,-15.12,39.26,80.6,61,40,8.05
205,Antofagasta,CL,2019-11-06 18:33:43,-23.65,-70.4,64.4,63,20,13.87
206,Cabo San Lucas,MX,2019-11-06 18:30:11,22.89,-109.91,88.0,70,40,4.7
207,Gorontalo,ID,2019-11-06 18:33:44,0.54,123.06,72.77,79,43,1.83
208,Chapais,CA,2019-11-06 18:33:44,49.78,-74.86,17.6,67,90,16.11
209,Weinan,CN,2019-11-06 18:33:44,34.5,109.46,53.01,100,66,2.24
210,Mandali,IQ,2019-11-06 18:33:44,33.75,45.55,70.0,21,0,10.94
211,Longyearbyen,NO,2019-11-06 18:33:44,78.22,15.63,8.6,71,20,3.36
212,Lira,UG,2019-11-06 18:33:44,2.25,32.9,71.92,79,66,4.38
213,Seoul,KR,2019-11-06 18:28:50,37.57,126.98,50.0,93,75,2.24
214,Codrington,AU,2019-11-06 18:33:45,-28.95,153.24,52.0,93,0,5.82
215,Lata,IN,2019-11-06 18:33:45,30.78,78.62,23.09,56,17,1.59
216,Hithadhoo,MV,2019-11-06 18:31:21,-0.6,73.08,82.74,68,92,5.77
217,Vila Franca Do Campo,PT,2019-11-06 18:33:45,37.72,-25.43,64.4,68,75,8.05
218,Yuli,CN,2019-11-06 18:33:45,24.82,106.77,58.93,83,91,1.81
219,Ligayan,PH,2019-11-06 18:33:45,4.65,119.47,83.37,73,100,7.72
220,Garowe,SO,2019-11-06 18:33:46,8.41,48.48,79.02,69,64,10.76
221,Duluth,US,2019-11-06 18:32:45,46.77,-92.13,28.0,49,90,19.46
222,Natal,BR,2019-11-06 18:33:46,-5.81,-35.21,84.2,62,40,21.92
223,Santa Cruz,BR,2019-11-06 18:29:47,-6.22,-36.02,90.52,39,9,12.19
224,Taltal,CL,2019-11-06 18:33:46,-25.41,-70.49,63.0,61,0,7.83
225,Bitung,ID,2019-11-06 18:33:46,1.44,125.19,73.4,83,20,3.36
226,Cavan,IE,2019-11-06 18:33:46,53.99,-7.36,46.0,81,96,4.0
227,Athabasca,CA,2019-11-06 18:31:44,54.72,-113.29,14.22,67,0,9.64
228,Port Macquarie,AU,2019-11-06 18:33:47,-31.43,152.91,52.0,93,40,4.7
229,Fortuna,US,2019-11-06 18:33:47,40.6,-124.16,48.99,100,90,3.36
230,Luganville,VU,2019-11-06 18:33:47,-15.51,167.18,73.4,100,75,2.24
231,Durban,CA,2019-11-06 18:33:47,51.93,-101.44,14.25,64,21,10.65
232,Kruisfontein,ZA,2019-11-06 18:33:47,-34.0,24.73,60.57,75,100,10.0
233,Port Elizabeth,US,2019-11-06 18:33:47,39.31,-74.98,57.99,28,1,6.93
234,Abha,SA,2019-11-06 18:33:48,18.22,42.5,66.2,82,8,2.95
235,Port Lincoln,AU,2019-11-06 18:33:48,-34.72,135.86,55.83,69,97,15.17
236,Kainantu,PG,2019-11-06 18:33:48,-6.29,145.87,58.03,91,100,2.55
237,Port Hardy,CA,2019-11-06 18:33:48,50.7,-127.42,44.6,93,90,4.7
238,Herat,AF,2019-11-06 18:33:49,34.35,62.22,46.4,45,0,2.24
239,Buin,CL,2019-11-06 18:33:49,-33.73,-70.74,87.8,17,0,5.82
240,Wakkanai,JP,2019-11-06 18:33:50,45.41,141.67,40.46,71,41,22.79
241,Chimore,BO,2019-11-06 18:33:50,-16.98,-65.13,80.49,89,100,2.17
242,Dargaville,NZ,2019-11-06 18:33:50,-35.94,173.86,54.01,95,24,4.52
