City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
46,Kaitangata,NZ,2019-11-08 19:10:47,-46.28,169.85,57.0,90,100,6.6,light rain,0.19,0.0
47,Kodiak,US,2019-11-08 19:10:05,39.95,-94.76,43.0,37,1,13.87,clear sky,0.0,0.0
48,Chokurdakh,RU,2019-11-08 19:10:19,70.62,147.9,-8.27,98,97,4.76,overcast clouds,0.0,0.0
49,Batagay-Alyta,RU,2019-11-08 19:10:28,67.8,130.41,-6.98,98,98,2.98,overcast clouds,0.0,0.0
50,Oum Hadjer,TD,2019-11-08 19:12:26,13.3,19.7,86.23,13,0,4.05,clear sky,0.0,0.0
51,Sawakin,SD,2019-11-08 19:12:26,19.1,37.33,86.0,70,0,3.36,clear sky,0.0,0.0
52,Bluff,AU,2019-11-08 19:12:27,-23.58,149.07,69.98,25,0,8.99,clear sky,0.0,0.0
53,Ushuaia,AR,2019-11-08 19:12:27,-54.81,-68.31,44.6,91,40,27.51,shower rain,0.0,0.0
54,Rawson,AR,2019-11-08 19:12:27,-43.3,-65.11,51.66,69,100,12.84,overcast clouds,0.0,0.0
55,Oussouye,SN,2019-11-08 19:12:27,12.49,-16.54,87.8,66,82,6.93,broken clouds,0.0,0.0
56,Carnarvon,ZA,2019-11-08 19:10:08,-30.97,22.13,68.9,14,38,18.86,scattered clouds,0.0,0.0
57,New Norfolk,AU,2019-11-08 19:10:14,-42.78,147.06,42.8,70,40,14.99,scattered clouds,0.0,0.0
58,Dali,CN,2019-11-08 19:11:09,34.79,109.94,52.97,64,17,8.7,few clouds,0.0,0.0
59,Qaanaaq,GL,2019-11-08 19:09:45,77.48,-69.36,-4.04,58,0,6.42,clear sky,0.0,0.0
60,Karpathos,GR,2019-11-08 19:12:28,35.51,27.21,71.6,83,20,2.24,few clouds,0.0,0.0
61,Yishui,CN,2019-11-08 19:12:28,35.78,118.63,46.85,78,0,1.28,clear sky,0.0,0.0
62,Port Hedland,AU,2019-11-08 19:12:29,-20.31,118.58,66.2,88,100,3.36,overcast clouds,0.0,0.0
63,Ribeira Grande,PT,2019-11-08 19:10:24,38.52,-28.7,66.2,68,20,4.7,few clouds,0.0,0.0
64,Kholodnyy,RU,2019-11-08 19:12:29,62.72,147.95,4.35,96,94,6.96,overcast clouds,0.0,0.0
65,Pau Brasil,BR,2019-11-08 19:12:30,-15.46,-39.65,86.85,44,29,8.68,scattered clouds,0.0,0.0
66,Bwanga,TZ,2019-11-08 19:12:30,-3.03,31.76,68.43,84,51,6.76,broken clouds,0.0,0.0
67,Wanxian,CN,2019-11-08 19:12:31,30.8,108.39,59.25,71,55,1.57,broken clouds,0.0,0.0
68,Vila Franca Do Campo,PT,2019-11-08 19:10:04,37.72,-25.43,66.2,77,40,5.82,scattered clouds,0.0,0.0
69,Mahebourg,MU,2019-11-08 19:09:52,-20.41,57.7,71.6,73,20,5.82,few clouds,0.0,0.0
70,Luderitz,NA,2019-11-08 19:11:26,-26.65,15.16,60.8,87,59,14.99,broken clouds,0.0,0.0
71,Butaritari,KI,2019-11-08 19:10:29,3.07,172.79,84.06,66,57,7.87,broken clouds,0.0,0.0
72,Castro,CL,2019-11-08 19:10:10,-42.48,-73.76,59.0,58,1,8.05,clear sky,0.0,0.0
73,Sorong,ID,2019-11-08 19:12:33,-0.86,131.25,72.55,99,85,1.1,light rain,0.5,0.0
74,Pavilosta,LV,2019-11-08 19:11:09,56.89,21.19,42.8,100,100,8.05,overcast clouds,0.0,0.0
75,Ilulissat,GL,2019-11-08 19:10:33,69.22,-51.1,39.2,29,75,14.99,broken clouds,0.0,0.0
76,Kruisfontein,ZA,2019-11-08 19:09:00,-34.0,24.73,56.23,84,70,7.76,broken clouds,0.0,0.0
77,Kasongo-Lunda,CD,2019-11-08 19:09:57,-6.48,16.82,70.72,95,92,2.37,light rain,2.75,0.0
78,Sumter,US,2019-11-08 19:12:34,33.92,-80.34,59.0,41,1,12.75,clear sky,0.0,0.0
79,Inuvik,CA,2019-11-08 19:08:34,68.36,-133.71,10.4,71,90,6.93,light snow,0.0,0.0
80,Luanda,AO,2019-11-08 19:12:35,-8.83,13.24,82.4,74,20,10.29,few clouds,0.0,0.0
81,Lebu,ET,2019-11-08 19:09:55,8.96,38.73,55.15,63,30,4.97,scattered clouds,0.0,0.0
82,Cidreira,BR,2019-11-08 19:09:46,-30.17,-50.22,71.49,85,0,13.04,clear sky,0.0,0.0
83,Jamestown,AU,2019-11-08 19:06:05,-33.21,138.6,39.13,90,18,5.57,few clouds,0.0,0.0
84,Carauari,BR,2019-11-08 19:12:35,-4.88,-66.9,81.28,89,100,0.58,light rain,2.94,0.0
85,Kaeo,NZ,2019-11-08 19:12:35,-35.1,173.78,64.99,100,91,1.01,light rain,0.75,0.0
86,Ghogha,IN,2019-11-08 19:12:36,21.69,72.28,82.27,70,42,4.99,light rain,0.31,0.0
87,Gat,SN,2019-11-08 19:12:36,14.69,-16.54,96.8,57,85,18.34,overcast clouds,0.0,0.0
88,Ginda,IN,2019-11-08 19:09:50,30.69,78.49,49.42,69,0,6.55,clear sky,0.0,0.0
89,Bredasdorp,ZA,2019-11-08 19:08:09,-34.53,20.04,64.0,67,46,16.11,scattered clouds,0.0,0.0
90,Sinnamary,GF,2019-11-08 19:10:35,5.38,-52.96,82.47,82,69,15.64,broken clouds,0.0,0.0
91,Barrow,AR,2019-11-08 19:09:50,-38.31,-60.23,73.58,23,100,10.11,overcast clouds,0.0,0.0
92,Santa Vitoria Do Palmar,BR,2019-11-08 19:12:37,-33.52,-53.37,69.82,70,0,11.18,clear sky,0.0,0.0
93,Hilo,US,2019-11-08 19:10:30,19.71,-155.08,80.01,56,1,5.82,clear sky,0.0,0.0
